Carrera,201710,201720,201810,201820,201910,201920,202010,202020,202110,202120,202210
Administracion,985,989,989,1019,1020,1037,1058,1159,1202,1215,1246
Ingenieria Ambiental,416,380,376,357,348,304,267,245,216,187,170
Ingenieria Electrica,123,113,122,120,115,121,110,99,85,83,78
Diseno,761,751,761,765,781,793,795,812,833,828,826
Narrativas Digitales,0,0,0,0,7,34,70,112,136,160,196
Gobierno y asuntos publicos,177,212,233,252,274,272,286,273,276,262,228
Ingenieria de sistemas,546,570,607,627,676,657,709,696,722,731,787
Lenguas y cultura,132,154,164,164,178,165,157,140,169,165,161
Biologia,254,249,231,230,234,230,228,212,198,190,190
Microbiologia,162,172,181,168,172,182,185,174,191,178,167
Quimica,96,96,95,89,78,86,93,86,89,78,80
Fisica,212,208,208,210,233,242,279,283,326,329,348
Geociencias,235,232,228,216,199,177,151,133,135,133,128
Ingenieria Civil,833,836,795,802,788,734,706,640,613,597,577
Economia,874,866,888,903,929,932,951,998,1029,1035,1014
Matematicas,83,91,90,97,98,104,108,108,108,101,108
Psicologia,539,520,503,502,446,421,406,389,378,351,335
Ingenieria Industrial, 1594,1565,1504,1508,1471,1406,1347,1337,1286,1268,1233
Medicina,765,793,770,791,827,824,790,762,847,818,828
Contaduria Internacional,60,85,88,100,104,107,110,97,93,73,57
Arquitectura,732,724,715,681,718,720,723,691,722,719,731
Arte,298,291,280,267,230,241,221,203,204,204,206
Ciencia Política,491,477,466,445,423,404,368,349,319,321,286
Ingeniería Biomédica,410,414,429,446,466,460,521,510,530,518,509
Ingeniería Electrónica,370,355,359,370,370,353,364,341,325,324,314
Ingeniería Mecánica,696,699,695,687,662,664,658,630,624,605,566
Ingeniería Química,713,667,653,600,609,557,560,522,453,416,381
Educacion,19,17,18,19,22,27,30,39,40,46,53
